イヌパワー,ネコスピード,カメバリア,サルジャンプ,ドラゴンポイント,タヌキ運,フクロウ知恵,ライオン勇気,ウサギ敏捷,ペンギン冷静
17,91,29,77,95,4,30,87,82,99
75,4,2,16,71,28,35,92,49,49
3,27,60,11,0,86,90,61,5,86
89,74,34,63,80,98,58,2,96,67
100,10,66,73,92,74,31,100,29,46
59,24,13,33,88,57,17,61,98,35
35,42,78,55,31,25,30,85,3,32
57,46,93,82,59,90,72,12,3,41
10,53,14,62,29,46,59,33,19,46
79,67,23,37,73,85,53,92,29,9
93,89,69,60,73,75,58,45,51,80
99,72,49,4,89,18,10,90,39,18
79,85,100,78,6,18,66,81,96,17
73,96,29,39,77,2,100,14,34,93
28,52,45,72,41,90,81,10,37,67
32,83,23,83,23,55,29,58,39,11
84,65,82,75,10,82,38,50,59,67
87,93,80,56,80,23,4,63,99,41
87,36,58,2,88,84,81,27,100,63
40,97,67,33,57,73,42,97,21,77
77,96,50,31,25,79,61,34,7,78
45,50,19,20,47,96,28,97,62,23
22,23,14,56,56,96,24,83,12,88
10,18,98,91,45,82,77,48,59,32
44,35,66,87,48,53,22,55,20,15
0,64,90,25,8,73,73,62,23,1
19,71,40,71,84,62,41,13,29,90
87,24,6,95,62,53,57,88,59,97
86,0,22,54,39,83,83,82,45,35
19,46,12,84,89,25,75,34,55,68
42,29,72,89,81,64,88,7,5,25
72,71,68,92,37,60,90,10,21,9
10,22,96,42,6,45,4,3,85,13
37,60,79,31,19,34,15,69,7,69
39,38,67,60,57,16,76,16,62,99
99,26,52,89,70,43,4,3,33,4
19,68,19,73,27,69,78,43,66,82
84,15,17,4,54,70,52,33,82,30
65,10,13,65,31,21,82,43,87,82
44,9,25,23,20,28,26,64,17,91
21,4,76,27,91,19,12,61,79,44
99,48,33,70,71,82,60,4,41,51
99,26,83,85,80,48,81,92,1,2
18,9,8,1,81,67,41,59,14,94
62,80,83,7,58,33,62,93,13,92
65,37,12,23,69,74,78,89,1,91
37,94,18,68,73,56,32,7,82,0
28,36,47,30,71,90,40,89,67,81
30,95,87,43,18,52,72,15,7,63
2,73,70,88,95,2,51,12,3,40
51,78,67,34,5,44,71,42,40,90
29,18,80,91,46,74,7,93,10,36
48,35,18,86,23,36,85,16,13,56
95,36,5,59,14,40,9,22,22,62
13,4,36,88,86,13,68,64,94,4
3,51,5,49,16,4,86,9,91,19
88,44,56,1,70,73,91,32,71,91
70,25,84,26,24,30,37,74,57,71
81,5,63,54,4,53,72,3,94,17
50,32,61,48,42,42,92,54,85,50
76,88,4,73,94,23,54,32,31,5
64,9,24,16,13,28,41,1,70,85
86,87,3,63,70,8,25,73,83,6
89,77,5,84,34,61,67,11,33,66
24,15,85,96,100,46,68,84,10,41
54,5,77,29,60,84,85,39,4,35
43,45,93,99,69,40,48,90,51,52
25,47,81,42,46,12,97,35,65,98
82,53,61,65,87,40,11,31,53,28
30,26,33,43,52,96,40,13,22,17
71,95,47,22,39,23,91,91,56,92
15,79,66,61,12,70,13,62,51,75
35,95,27,20,93,8,4,25,34,21
35,57,80,30,66,18,88,4,97,8
48,91,97,84,49,21,66,43,66,11
90,55,67,47,21,17,59,70,35,59
43,68,78,40,70,84,50,76,62,51
44,33,75,44,79,23,48,66,3,69
20,82,69,51,53,6,31,5,82,56
56,52,27,78,7,76,85,26,12,3
86,100,59,43,8,27,70,46,61,78
87,37,60,12,70,31,38,40,96,2
55,78,48,44,27,54,16,13,41,50
21,82,20,88,91,69,51,18,77,76
7,3,79,73,69,62,67,95,77,17
16,69,47,27,69,53,1,65,40,87
51,9,96,66,52,25,93,32,62,12
32,16,22,80,48,56,16,1,29,62
79,35,27,63,33,79,74,6,90,27
14,50,47,98,65,18,60,97,69,45
13,66,86,2,23,91,76,75,87,70
81,30,9,83,49,80,48,69,40,96
34,18,84,76,3,5,25,68,83,45
6,92,63,0,59,44,17,46,73,81
3,81,22,27,86,7,68,21,2,28
51,26,22,84,81,92,9,88,84,31
71,8,27,82,25,52,41,38,25,3
61,3,12,54,84,48,28,33,41,5
59,32,10,49,81,90,34,9,74,72
63,10,14,35,14,22,1,23,55,51
13,21,50,68,85,82,74,71,58,89
56,5,55,0,78,73,29,14,4,9
68,76,74,87,51,5,95,65,93,46
34,4,1,100,18,97,62,79,53,19
68,16,86,40,47,67,81,5,64,76
47,85,12,76,62,22,16,21,47,2
89,90,43,95,22,60,51,39,55,56
38,76,5,94,73,39,51,8,29,14
75,88,55,8,32,93,29,56,35,61
48,42,99,64,13,81,38,96,27,66
23,17,4,89,68,41,16,11,52,33
47,6,38,83,6,41,93,84,88,97
100,77,73,78,60,10,33,46,18,83
19,60,35,71,58,62,12,61,56,72
53,2,86,65,26,27,24,61,66,56
18,69,85,62,89,74,88,34,11,78
64,51,3,6,27,99,26,48,40,89
22,1,79,89,100,61,84,96,36,33
66,3,17,28,75,23,22,94,25,13
9,35,12,66,52,61,11,3,65,53
14,72,66,99,96,52,24,53,11,49
13,69,37,22,65,93,41,17,42,14
82,97,26,66,22,47,81,82,32,23
10,72,13,47,11,23,14,24,85,89
20,75,61,55,48,36,35,24,97,44
14,59,40,0,88,1,37,3,19,79
91,57,75,2,33,37,13,64,58,26
87,25,23,52,10,9,89,94,85,24
73,67,11,51,37,87,77,67,14,40
29,54,19,82,62,1,3,58,68,26
97,87,50,5,76,37,98,82,91,42
73,69,51,74,30,84,6,75,37,86
65,53,19,61,27,53,90,70,43,4
72,71,60,41,18,4,37,17,10,84
74,84,60,60,38,75,3,19,52,34
45,46,98,30,9,33,10,45,98,85
100,10,75,35,68,78,33,2,54,28
96,50,45,51,71,86,82,56,13,9
17,92,97,21,58,19,77,9,40,20
31,10,88,13,72,51,65,28,51,39
37,63,87,0,82,31,43,62,15,36
0,65,92,2,61,20,95,67,39,41
55,64,13,60,3,74,51,17,8,97
16,79,75,38,74,98,35,15,26,71
60,3,19,8,99,45,46,72,82,84
25,73,39,59,27,88,27,6,30,66
92,60,22,1,32,11,19,82,37,89
64,49,97,35,89,59,74,75,67,33
65,36,40,74,69,32,61,71,22,67
98,69,35,65,46,79,49,67,79,42
10,85,60,34,3,40,59,10,68,51
94,97,23,59,62,97,96,54,91,33
96,13,55,63,45,48,40,60,56,2
57,41,53,95,61,89,16,94,69,75
84,34,87,98,38,30,27,84,21,98
16,90,45,30,96,86,85,81,70,54
61,29,1,70,47,46,10,3,14,55
6,77,68,14,74,83,44,5,91,32
79,75,15,71,51,64,66,71,92,13
12,61,32,3,93,28,8,90,75,42
12,73,41,62,49,34,10,58,83,92
76,39,26,50,11,82,11,95,45,81
27,53,72,67,14,59,17,27,73,65
43,90,76,62,78,51,32,97,38,73
64,0,92,98,56,4,93,71,34,18
88,49,11,98,56,78,6,53,73,47
30,78,11,80,64,12,23,68,14,94
69,53,77,23,96,84,80,63,26,59
74,23,46,36,2,55,7,53,1,89
66,42,89,96,44,53,0,64,5,57
87,64,93,60,79,70,5,76,94,58
72,45,75,1,56,10,48,88,62,56
73,98,57,43,86,25,85,62,40,41
41,71,71,67,26,82,33,72,83,65
63,63,61,57,80,63,27,43,39,11
23,89,59,90,82,15,37,92,70,61
97,25,42,28,30,50,26,57,53,14
4,42,2,69,56,22,74,95,66,51
16,13,88,51,79,50,61,56,72,56
45,48,12,11,31,81,87,45,61,85
16,92,30,100,49,58,76,47,59,10
18,91,65,86,35,46,34,76,66,6
51,98,4,46,96,63,90,28,16,95
26,55,88,85,39,4,14,76,80,59
36,52,14,61,40,83,20,82,96,88
46,69,24,40,98,13,64,38,84,70
59,71,2,94,63,25,68,29,34,56
100,77,53,100,73,39,99,37,79,94
51,39,62,46,67,92,40,48,7,16
91,17,69,81,83,30,1,71,30,2
97,72,96,97,83,3,65,67,96,42
69,63,20,100,98,57,9,64,63,75
68,67,2,7,26,68,57,60,14,56
74,27,75,50,68,84,49,46,13,100
72,50,50,22,69,48,4,83,25,10
78,95,45,20,65,30,5,3,57,90
29,21,54,26,83,3,38,54,52,5
50,80,66,26,84,17,35,81,68,36
77,19,90,95,79,75,43,49,14,95
66,49,19,42,92,26,52,7,86,98
61,8,59,53,59,20,57,64,69,52
100,18,70,93,71,76,8,91,35,59
31,29,77,97,70,43,28,28,10,11
3,87,43,28,12,80,17,35,62,18
26,11,74,81,97,64,69,19,18,86
0,98,3,66,76,4,93,85,91,7
27,46,2,13,2,14,87,17,13,38
16,31,44,91,15,60,6,5,59,13
50,36,4,52,62,62,50,44,15,91
31,81,87,6,6,41,78,84,76,80
8,81,44,89,76,63,66,66,71,100
26,92,68,99,81,10,52,21,7,80
48,92,67,51,85,11,52,83,73,22
22,28,46,40,47,41,11,67,27,12
53,3,35,94,11,97,3,15,58,10
73,96,3,71,46,21,57,70,31,74
85,21,98,14,68,21,33,22,39,5
39,84,55,95,24,5,90,54,40,46
7,32,42,36,72,50,54,12,78,74
8,52,25,23,43,26,57,67,69,26
12,49,52,5,75,88,26,23,68,6
12,67,52,98,75,60,28,36,60,78
24,2,45,8,6,5,81,24,98,35
63,43,11,31,70,97,3,15,36,97
76,25,22,25,75,85,77,4,13,15
11,36,7,53,92,24,32,37,58,62
88,75,68,75,39,99,97,44,65,32
97,67,33,81,57,29,55,11,52,13
73,60,78,69,93,85,90,74,19,14
27,28,80,23,73,99,88,95,53,76
32,45,16,71,17,71,70,27,43,76
14,76,26,93,48,92,60,63,100,11
58,34,37,98,38,100,96,36,35,55
34,70,82,21,32,71,97,31,27,26
4,13,14,59,78,61,42,92,64,39
39,17,95,23,44,65,86,17,5,75
14,6,31,88,9,54,76,18,54,12
12,75,21,59,35,84,78,8,83,43
15,25,52,71,81,28,11,84,12,46
37,32,44,77,20,56,31,14,34,68
70,8,74,34,81,2,48,24,96,97
58,85,6,86,52,5,69,12,77,50
67,56,77,45,21,60,38,91,95,68
66,77,67,42,1,55,1,34,17,76
91,16,16,33,46,85,82,21,69,93
30,58,12,38,98,55,66,84,71,99
79,53,60,78,73,62,36,78,42,62
92,82,99,25,19,85,100,98,51,58
73,47,57,57,19,16,10,43,37,88
89,88,43,85,11,76,95,8,23,47
37,41,50,88,67,60,21,47,11,70
11,60,13,72,33,75,87,33,85,2
100,69,48,30,86,90,54,33,17,55
73,31,55,68,8,16,97,24,100,73
53,89,67,61,82,42,20,43,22,36
85,97,15,6,52,10,68,81,76,66
0,35,93,100,40,29,81,74,69,43
42,89,35,93,54,32,15,3,91,6
100,21,41,59,38,46,4,52,99,93
6,20,63,81,75,40,5,13,13,66
84,53,42,11,5,41,50,35,56,97
58,47,57,61,73,66,41,81,31,73
43,59,68,82,74,2,79,90,74,34
25,100,39,63,44,90,42,52,82,53
67,70,0,59,85,21,50,23,97,77
56,48,90,66,35,27,15,74,26,66
12,43,16,88,10,68,57,26,33,52
59,70,46,17,47,90,68,84,52,11
7,6,89,63,27,40,22,84,92,65
36,59,51,45,72,37,34,74,10,1
13,38,48,1,12,58,96,17,27,62
15,86,3,50,6,68,18,11,57,21
59,84,9,17,59,48,32,35,47,36
29,40,59,59,2,62,1,75,90,73
52,14,24,29,80,5,86,37,49,95
68,70,17,59,5,11,58,19,80,89
14,82,66,9,20,35,28,34,54,10
21,26,29,59,8,93,72,52,93,80
69,95,30,81,89,65,93,60,88,72
85,40,1,36,11,78,73,68,45,65
36,43,87,68,6,70,33,96,95,53
28,5,92,36,81,25,83,90,50,30
96,4,51,41,96,81,17,90,23,37
4,96,16,30,63,74,64,37,3,27
97,75,78,83,79,90,0,64,73,57
62,71,15,67,68,20,11,85,24,6
98,11,54,74,51,6,51,84,5,52
90,71,95,80,47,11,68,57,89,61
43,61,93,3,25,73,6,50,78,27
86,48,60,86,99,34,17,16,83,39
72,79,67,92,82,14,19,13,46,35
6,20,61,52,39,80,100,87,67,73
7,87,72,87,36,10,88,94,55,83
52,19,27,4,21,96,53,54,100,63
44,59,19,27,96,53,26,38,88,17
11,52,31,31,7,99,98,59,39,7
77,74,42,44,54,6,15,63,17,33
74,94,30,3,36,56,76,49,15,98
76,36,17,53,63,48,56,80,34,15
7,28,17,6,23,77,9,52,91,86
71,68,75,81,35,61,36,85,20,42
46,79,52,62,78,40,62,60,43,21
38,77,66,92,56,21,93,62,78,76
14,68,45,35,35,2,75,94,47,63
64,80,44,52,42,67,80,23,53,97
3,29,2,83,16,93,55,31,16,24
36,92,23,82,14,31,21,39,50,2
10,66,54,2,85,52,27,41,51,52
8,19,56,32,8,24,95,36,7,1
86,41,59,16,4,34,38,72,94,95
27,82,5,55,74,72,70,97,98,1
26,3,29,93,8,28,84,51,81,100
21,39,100,75,68,65,41,82,27,3
56,2,55,55,13,65,52,15,20,67
75,65,84,1,36,25,49,9,74,17
37,3,61,17,57,70,8,49,84,15
40,79,95,59,3,100,50,63,67,29
49,22,54,90,37,5,10,87,62,11
28,71,53,53,68,10,64,88,75,82
4,82,72,67,43,66,66,9,67,73
19,83,88,19,62,81,31,95,76,85
44,19,74,71,20,19,20,59,20,38
51,62,69,52,54,69,58,66,41,76
64,34,19,8,84,67,55,54,25,73
26,94,73,74,63,81,69,12,50,25
34,85,31,1,86,27,89,98,23,80
93,66,76,93,33,12,8,89,3,92
82,12,98,38,32,61,74,87,29,99
46,4,45,8,45,59,43,6,96,68
9,84,38,42,37,91,6,100,92,54
69,51,14,2,22,79,65,81,5,34
31,82,17,82,45,3,62,11,87,0
69,6,80,49,87,13,33,59,6,82
59,31,76,65,69,64,15,58,42,56
52,53,73,20,19,44,41,76,54,72
96,91,36,18,66,42,64,20,93,18
37,50,85,89,65,12,4,84,6,4
61,54,86,0,32,82,85,9,83,16
83,31,70,28,3,75,9,13,31,16
8,22,8,24,80,6,77,73,2,62
20,47,44,83,68,67,13,8,78,74
17,49,45,34,75,41,57,96,96,0
66,91,84,41,80,95,99,99,46,35
5,89,19,50,49,20,8,18,20,58
78,54,57,49,9,34,99,80,5,87
39,70,100,26,13,23,27,61,56,31
55,43,85,95,87,10,24,38,80,95
98,36,1,90,44,89,81,68,30,63
43,62,75,91,49,35,69,5,8,16
17,1,62,68,54,77,87,0,62,61
18,12,34,87,43,94,2,55,31,99
2,28,92,23,39,80,19,21,68,65
65,1,30,94,58,58,14,59,81,52
36,47,18,28,12,45,9,78,91,99
98,38,44,23,26,14,29,83,59,14
49,57,17,44,98,23,39,8,54,93
64,44,27,72,66,11,28,37,28,74
68,86,92,1,3,43,60,98,76,26
62,85,84,76,66,95,88,87,36,49
78,6,68,47,45,52,69,1,6,8
80,59,17,98,25,46,70,34,22,99
61,32,54,38,15,41,99,0,37,58
0,86,30,3,77,3,67,43,1,12
79,0,33,86,36,69,97,85,52,58
69,86,85,31,92,98,6,93,24,2
38,70,23,3,81,84,17,24,91,16
71,22,48,43,62,97,19,77,41,58
33,73,52,51,21,57,38,64,61,15
2,11,22,14,39,38,32,1,92,27
15,57,6,94,28,99,82,100,0,51
75,46,88,80,92,19,7,9,65,81
86,88,94,24,50,50,26,67,74,92
76,25,78,78,49,56,3,55,83,9
61,4,86,83,39,55,8,68,29,27
40,9,65,27,21,26,40,31,38,43
40,1,71,52,36,25,92,7,87,47
85,47,22,7,57,37,76,28,92,34
86,73,41,4,45,55,26,76,72,15
21,40,100,93,92,42,13,7,3,41
87,18,3,79,59,51,35,97,69,40
66,14,94,32,85,36,98,1,48,65
87,60,29,78,98,84,80,86,49,72
97,97,27,68,30,87,89,81,0,2
46,58,58,99,100,91,42,73,91,28
11,11,91,95,36,36,89,90,6,64
62,20,94,78,22,18,28,94,26,98
94,22,55,49,98,79,89,31,37,73
36,77,27,47,77,6,20,27,67,81
29,79,55,79,4,2,14,2,88,68
16,92,11,83,85,50,28,86,6,64
65,61,78,31,64,18,22,66,37,81
94,36,80,66,26,94,62,68,39,59
59,47,63,96,70,46,90,96,98,97
77,81,81,34,5,28,28,20,11,86
96,10,63,57,81,78,19,9,71,44
53,100,73,77,66,37,2,11,54,99
27,62,85,57,5,53,97,38,9,56
89,65,20,73,48,75,95,56,1,51
79,11,94,44,30,100,8,96,53,31
89,78,11,6,56,48,60,47,90,88
33,46,37,99,76,76,69,82,55,19
72,6,94,72,100,81,52,48,48,8
47,92,89,81,9,97,23,42,97,72
54,15,66,36,89,26,96,22,73,42
17,43,20,24,53,8,44,74,22,36
67,28,88,99,95,74,67,27,91,43
8,69,5,52,66,23,62,68,27,25
6,67,38,51,82,74,82,77,59,58
77,29,67,89,70,9,65,90,19,84
41,38,27,82,58,25,56,51,68,10
2,0,5,80,62,0,16,45,75,61
94,58,49,40,63,34,29,59,8,8
99,50,29,43,70,30,60,32,12,83
68,50,59,51,51,29,61,37,6,87
96,90,99,48,52,47,52,6,35,24
65,77,4,5,45,15,38,41,100,70
28,64,94,40,36,42,35,99,88,83
83,78,29,21,45,29,70,8,75,26
23,80,64,74,15,8,10,70,45,27
30,44,43,92,94,64,42,17,99,58
28,77,33,14,42,44,63,17,74,4
98,71,74,32,93,15,74,37,95,73
56,4,84,52,27,81,36,24,66,64
95,81,57,46,7,41,9,31,20,70
91,44,3,50,99,100,100,94,73,42
4,70,69,82,62,57,96,17,21,56
86,100,4,82,6,72,67,59,79,28
77,42,74,44,83,19,80,55,85,29
94,39,79,36,78,33,87,26,9,25
6,33,8,82,96,68,33,67,22,37
76,68,96,67,0,99,78,0,45,33
70,83,83,60,96,66,87,50,87,17
81,25,98,82,61,3,53,73,29,49
12,20,39,93,11,79,96,100,65,78
78,80,50,29,9,62,27,34,62,32
0,42,54,67,55,7,86,26,0,24
22,13,57,29,30,0,99,59,69,90
46,45,21,62,32,36,53,34,11,61
16,19,7,88,72,94,60,49,61,69
13,65,4,46,63,32,63,63,99,79
36,66,35,76,31,33,37,70,55,53
16,80,71,43,60,47,4,46,95,45
98,65,60,13,43,30,15,38,4,68
56,96,28,97,20,25,25,77,2,78
96,92,98,54,41,95,21,61,81,57
87,90,19,56,73,93,65,27,90,97
22,27,45,100,95,52,32,66,0,6
39,2,63,52,17,76,32,36,72,81
89,68,59,88,62,77,36,46,3,41
74,93,60,77,31,78,63,88,54,93
43,37,98,45,69,70,61,4,68,23
95,54,24,52,54,36,30,63,98,34
95,36,65,44,83,74,34,46,52,14
85,78,42,33,36,10,53,98,94,69
36,59,59,26,64,31,1,48,35,56
32,37,58,70,18,71,49,87,76,98
96,1,40,39,3,43,69,54,70,12
7,96,92,41,0,75,1,21,22,53
7,55,26,34,85,1,33,83,65,25
51,95,38,86,73,25,9,86,2,10
53,15,46,88,93,40,4,20,27,59
66,13,63,77,5,42,37,82,70,22
62,5,66,65,57,45,0,58,3,67
62,94,45,69,63,11,50,43,8,28
49,67,20,38,54,64,42,85,37,90
72,56,56,47,75,53,27,86,89,87
31,64,5,92,70,82,39,90,54,100
92,80,62,93,3,12,4,2,92,16
37,64,74,49,58,64,91,48,87,59
75,86,38,15,61,86,84,57,67,86
10,65,35,6,83,7,25,6,26,60
63,31,17,98,42,41,95,21,72,7
76,39,56,81,77,97,51,34,37,78
34,52,48,65,91,74,48,41,53,39
64,63,87,57,90,22,66,63,20,99
70,74,100,28,66,5,80,54,49,61
99,57,68,45,70,30,23,98,97,43
94,90,70,53,52,93,8,43,59,66
32,45,47,20,91,52,39,41,5,69
72,72,66,31,63,5,24,100,70,74
46,33,47,27,9,19,92,61,66,27
98,15,76,92,57,60,90,7,97,41
6,37,45,65,68,16,48,22,73,83
71,46,78,79,38,80,58,59,66,13
93,53,21,35,17,15,22,51,2,32
34,84,38,59,49,8,8,27,20,83
93,4,60,88,30,45,48,56,43,25
52,99,28,5,5,32,80,98,7,48
1,98,15,9,97,74,26,31,38,52
15,5,43,72,74,71,33,36,33,40
31,30,92,84,8,83,10,78,69,9
38,5,47,93,31,52,25,7,30,83
66,21,42,8,31,13,63,97,100,40
24,95,63,55,19,18,22,24,95,9
61,54,7,67,86,70,49,54,91,95
1,49,99,15,41,33,44,0,100,77
15,38,62,88,3,75,16,53,62,3
73,36,96,52,31,20,91,80,33,26
34,13,18,29,12,37,41,85,34,36
43,77,39,96,0,65,42,96,68,72
77,64,49,5,59,38,40,82,72,78
65,71,63,1,17,1,71,57,19,72
100,31,14,67,13,75,40,0,63,79
20,9,47,45,14,85,63,71,15,59
63,98,92,21,84,48,100,85,100,100
100,14,53,40,88,9,20,4,27,49
98,92,63,53,25,49,4,77,80,81
95,84,8,76,16,79,79,91,32,63
97,75,68,63,42,36,71,44,88,62
18,55,32,99,55,76,40,26,95,80
4,87,42,92,90,87,47,19,94,4
98,21,75,71,12,77,89,86,36,8
35,78,89,100,16,24,57,100,85,2
66,88,12,86,31,78,26,5,85,66
82,19,29,74,93,58,72,5,12,93
27,43,18,55,12,69,10,83,38,24
59,79,90,93,61,76,43,64,30,86
85,23,39,17,5,79,15,73,86,5
39,52,0,59,39,29,75,3,50,20
13,96,22,53,45,15,11,65,61,28
0,33,20,72,39,97,33,81,97,73
96,53,19,29,39,22,5,60,13,44
0,74,30,79,45,55,83,65,16,24
13,5,69,30,65,89,4,6,70,52
35,69,65,67,43,14,23,26,9,37
12,28,0,1,33,39,94,36,13,1
11,17,82,18,39,13,4,30,98,93
85,77,51,77,65,79,66,1,89,92
68,28,20,3,80,97,51,47,32,37
1,76,7,36,96,55,14,48,60,24
78,34,71,40,72,46,89,49,19,30
12,21,44,8,60,55,91,83,8,1
64,86,84,94,48,18,58,70,9,99
18,94,47,65,43,22,54,23,15,30
57,98,55,52,75,65,59,51,83,40
51,92,67,96,25,51,65,93,79,68
68,9,53,15,93,37,53,75,36,36
16,94,3,69,57,60,44,15,72,4
32,96,75,42,86,45,21,32,10,53
99,11,62,8,59,12,92,32,2,23
30,39,79,9,74,32,95,18,18,62
5,6,28,74,47,90,69,42,90,81
67,100,5,25,86,64,24,39,54,56
52,46,19,39,55,32,75,99,89,74
3,30,17,15,99,96,100,22,42,45
43,67,13,61,86,21,9,13,33,69
6,54,82,69,55,10,78,64,23,77
20,35,32,74,53,9,57,45,10,9
47,16,97,31,6,70,42,31,54,25
15,88,5,22,28,62,28,75,73,63
82,78,65,72,50,9,18,58,68,37
36,92,65,47,16,15,28,65,70,11
56,41,75,0,46,71,50,54,78,24
6,15,47,32,68,12,23,14,42,96
76,97,81,75,56,0,74,78,17,55
35,71,85,63,43,73,27,97,41,42
23,47,81,33,97,32,0,86,11,2
16,52,36,40,81,84,43,71,96,33
71,98,46,49,89,56,53,46,42,21
24,30,11,60,82,66,100,62,61,95
96,76,63,1,23,11,75,99,72,47
49,53,75,60,36,27,76,56,2,11
75,85,38,50,64,59,59,7,26,95
3,81,79,77,65,71,80,64,18,8
43,24,81,84,70,25,23,80,25,79
86,50,24,90,100,14,35,8,52,50
1,42,26,18,45,23,60,6,42,81
30,39,42,43,11,64,80,89,21,77
95,42,77,65,62,89,25,73,100,100
47,49,14,65,85,17,93,0,38,100
40,71,13,64,40,25,100,77,56,32
10,85,30,10,25,59,82,53,69,70
49,72,48,88,86,76,95,20,43,100
95,12,24,42,12,33,67,17,2,39
64,50,71,39,46,85,81,5,14,20
81,8,43,11,34,13,61,21,18,83
12,33,64,43,73,0,65,39,40,82
71,38,86,71,3,56,33,26,95,59
77,18,15,9,20,72,29,41,37,94
59,24,62,18,10,62,29,61,65,47
54,22,19,11,44,80,80,19,74,96
23,7,25,100,74,17,99,35,87,31
90,2,15,92,9,100,75,31,96,22
15,99,45,45,68,0,69,1,72,97
74,62,16,66,28,65,43,40,6,41
12,89,78,10,13,32,39,58,84,89
0,85,11,6,46,14,34,77,18,30
13,14,11,72,56,97,23,31,13,35
62,34,62,49,14,34,3,32,16,67
38,27,94,54,39,41,12,97,31,87
78,33,20,15,87,60,67,6,49,77
59,89,67,77,95,67,16,75,92,42
75,79,71,54,56,45,3,80,72,12
13,3,33,100,67,74,44,24,5,97
81,25,40,33,58,16,100,26,93,65
48,83,56,26,34,53,2,18,58,64
75,8,37,3,55,57,58,91,14,30
72,99,6,28,41,87,9,26,31,71
44,22,79,83,75,31,85,81,29,2
28,57,80,76,23,57,73,19,87,5
20,9,47,86,48,52,70,39,26,86
93,91,80,11,93,91,58,45,54,20
13,47,74,36,70,69,100,68,65,96
63,18,65,66,63,52,63,45,30,94
19,71,42,51,9,68,64,71,36,85
21,72,13,20,12,8,70,90,50,67
97,57,69,48,64,28,34,42,77,90
23,61,74,1,8,10,91,100,41,16
89,55,54,96,1,47,27,72,9,59
91,88,42,68,67,15,90,56,60,54
66,29,27,30,6,66,10,98,24,21
60,23,60,75,79,84,23,13,56,47
38,45,53,85,98,23,90,7,63,52
60,59,20,50,94,57,91,100,61,27
55,11,31,17,49,33,89,52,4,97
37,11,48,54,39,74,5,94,46,56
23,24,53,25,79,2,17,50,33,29
26,89,99,29,74,79,68,17,98,85
21,34,70,52,33,41,99,80,7,52
48,15,35,18,70,66,42,66,100,94
90,16,4,99,42,15,41,95,86,32
77,69,30,71,92,29,2,1,77,77
26,68,19,65,95,28,59,78,40,63
95,96,81,26,51,17,23,36,87,41
79,38,8,23,44,10,85,100,15,78
54,75,34,4,52,15,73,2,0,74
2,20,50,44,88,3,50,29,50,89
15,63,28,47,46,0,77,44,21,4
37,9,32,51,32,15,72,17,36,27
10,97,62,15,40,64,20,87,27,80
0,69,62,32,61,99,29,86,31,78
38,66,84,36,42,68,54,50,1,35
7,57,67,16,19,72,16,82,43,49
49,10,14,75,46,78,19,97,93,84
68,8,55,52,14,50,3,87,27,55
26,79,51,98,96,75,31,89,34,49
49,20,79,27,44,14,14,83,100,78
85,2,24,45,46,54,74,87,93,91
9,55,52,63,87,57,100,18,28,91
7,46,94,61,71,78,11,24,63,66
84,35,8,77,25,37,48,82,53,73
15,99,9,13,56,49,79,51,93,3
39,50,30,59,31,72,22,6,9,64
93,70,58,29,25,42,46,12,86,81
