イヌパワー,ネコスピード,カメバリア,サルジャンプ,ドラゴンポイント,タヌキ運,フクロウ知恵,ライオン勇気,ウサギ敏捷,ペンギン冷静
23,26,65,57,4,36,81,45,99,18
38,80,68,45,97,68,53,43,71,43
81,36,58,28,95,28,76,54,56,86
77,4,90,47,95,44,91,95,57,77
28,23,10,29,53,5,19,3,10,23
62,100,63,95,21,27,5,80,46,23
2,50,24,33,7,77,83,10,84,64
70,27,11,3,35,81,56,15,99,48
69,82,54,72,78,41,90,95,91,21
49,10,9,6,93,55,62,9,70,59
46,99,81,4,66,21,42,42,70,60
33,52,55,14,9,54,40,30,39,79
89,92,85,19,18,6,50,8,2,10
57,4,13,54,71,40,94,51,20,32
7,15,65,35,89,57,88,19,50,48
27,79,27,78,57,33,42,4,59,88
46,12,2,98,37,29,24,82,48,22
23,41,69,53,70,91,65,97,78,50
39,41,57,98,70,44,99,17,6,63
4,56,5,43,39,59,83,13,12,88
18,74,68,1,14,64,76,21,85,87
21,52,6,12,42,35,93,66,23,35
47,26,73,31,45,81,77,58,68,58
65,30,45,2,45,0,7,25,73,79
81,32,18,7,35,12,61,83,7,65
41,21,94,77,74,31,60,54,94,1
66,85,42,46,7,76,60,53,11,58
51,7,79,57,75,30,97,15,24,88
74,16,82,42,78,9,1,16,66,49
63,73,11,76,2,32,21,14,18,36
31,13,11,99,37,45,71,67,89,17
90,26,92,57,32,42,78,75,92,92
20,84,5,19,66,33,88,96,42,37
29,58,66,15,52,41,81,30,36,43
24,5,100,55,12,13,47,67,0,41
58,10,50,4,28,82,15,77,24,88
88,54,46,28,32,91,15,8,75,74
76,56,60,1,7,13,61,47,79,69
36,98,52,82,78,99,19,50,19,50
36,8,99,11,80,89,25,80,49,90
64,32,61,99,42,47,24,45,43,96
54,54,39,32,29,82,84,26,100,85
31,3,71,100,94,6,32,13,30,63
65,0,73,84,8,20,82,88,39,63
32,23,88,48,75,52,30,97,71,15
18,33,93,85,27,62,25,65,23,26
47,41,14,50,85,10,47,47,65,12
32,18,72,56,15,78,73,72,90,18
68,75,30,23,60,7,86,53,36,72
95,61,80,14,98,34,86,61,26,16
33,8,65,21,75,0,42,80,12,100
96,82,80,75,11,37,15,22,3,94
41,68,56,43,40,26,71,2,15,86
34,71,11,6,46,95,18,19,53,15
8,81,23,85,30,50,9,39,15,75
22,41,75,36,16,19,66,65,23,99
3,6,11,74,73,74,96,22,0,39
95,79,63,48,2,34,12,62,61,13
83,14,66,32,79,26,28,59,21,61
66,67,83,54,92,82,21,43,0,67
40,50,88,91,37,91,44,51,32,89
19,89,39,53,27,50,26,84,32,89
86,49,78,68,14,2,50,5,17,72
99,6,13,93,45,15,34,26,99,77
6,52,25,52,73,29,56,95,95,38
88,36,46,90,41,78,21,2,0,79
80,21,83,47,44,82,7,86,49,40
64,35,51,6,48,30,63,8,17,46
80,46,66,15,50,91,61,22,37,33
59,19,14,48,3,95,11,74,11,61
18,52,78,54,36,4,34,12,22,97
31,20,51,68,100,88,67,84,96,15
53,15,98,69,13,77,8,47,17,79
21,54,69,2,84,59,33,10,56,35
73,21,98,76,85,5,71,41,54,31
91,13,2,37,10,62,46,99,60,83
16,10,52,82,66,66,18,12,30,46
65,63,63,41,50,4,54,98,82,48
32,82,55,87,55,32,34,0,65,98
97,60,66,20,40,39,74,83,77,32
92,52,3,69,90,61,74,39,92,25
23,55,6,56,46,77,50,97,91,97
90,16,35,55,99,54,58,71,90,26
11,85,45,86,45,47,2,92,20,76
34,49,70,5,38,30,65,16,12,82
90,14,65,77,29,41,50,35,53,48
47,20,61,40,42,48,33,31,16,44
23,67,22,6,4,26,89,74,19,86
46,63,7,64,27,67,47,3,79,7
88,94,96,62,71,85,80,3,35,83
83,60,71,0,98,4,37,59,0,74
50,83,69,85,48,40,7,17,4,26
72,82,34,25,82,65,44,55,23,96
55,77,25,91,44,78,24,62,58,64
76,31,71,99,94,94,4,24,93,74
80,59,32,21,98,2,36,32,37,9
73,83,70,33,90,63,27,19,76,68
84,65,18,30,47,72,3,6,35,29
68,66,72,32,73,20,20,18,78,63
92,30,1,100,84,62,10,44,46,85
40,69,81,28,46,65,34,79,65,84
0,20,75,38,68,79,3,28,74,39
27,54,75,11,33,73,46,21,88,8
97,92,70,21,40,91,61,36,54,68
87,11,48,86,37,33,89,31,79,62
58,55,63,98,83,55,82,1,87,44
56,67,82,73,85,9,59,77,56,33
48,71,41,33,61,28,73,82,66,62
33,48,41,63,60,71,83,21,81,1
38,51,64,72,28,57,20,28,100,55
40,49,45,100,82,82,87,71,85,23
67,4,34,66,8,17,21,79,98,5
2,13,94,74,64,80,39,69,42,36
73,64,0,41,6,64,38,14,19,39
88,97,31,66,0,53,83,84,68,53
2,40,67,53,73,5,36,82,98,64
81,44,13,63,55,4,94,9,79,89
59,42,21,23,89,62,30,52,43,91
51,51,36,9,83,32,88,52,28,63
46,68,82,95,57,66,93,88,67,72
57,78,38,43,31,61,28,91,28,76
74,15,55,9,25,38,82,21,27,52
76,15,28,91,55,80,79,22,75,61
10,52,63,10,95,0,42,87,52,69
97,11,1,72,27,89,94,75,94,54
84,62,62,99,79,99,6,68,93,57
15,50,78,96,16,11,42,36,65,13
0,23,74,95,65,31,12,49,11,86
9,19,45,34,70,93,76,22,29,81
57,82,67,39,40,39,25,55,63,65
94,60,73,4,8,44,76,3,68,4
64,59,38,9,10,36,32,54,39,36
81,90,46,22,13,8,7,17,38,80
63,10,91,98,5,81,54,89,97,42
14,1,11,22,67,74,42,37,56,5
44,99,89,37,80,61,75,52,84,5
24,46,2,72,7,80,67,32,93,7
28,17,85,38,66,72,81,33,19,35
70,30,93,56,68,23,10,27,73,82
55,58,41,61,52,47,26,58,53,47
98,8,30,95,49,88,61,12,96,77
25,45,2,40,45,86,29,93,79,49
23,14,38,65,16,26,88,2,84,2
85,25,94,84,99,12,4,20,1,75
34,26,69,55,63,79,85,98,19,9
11,16,46,86,24,94,36,14,54,9
61,27,21,81,44,72,85,51,39,73
85,76,100,25,6,90,83,75,23,3
23,28,60,73,61,64,51,29,15,19
87,30,48,63,52,77,52,91,57,59
2,8,20,37,57,93,7,14,35,99
11,52,15,40,38,38,64,50,72,48
49,12,61,94,73,52,75,29,93,85
69,40,100,11,14,94,42,61,29,52
84,7,46,46,93,26,91,16,65,43
39,58,100,99,59,52,77,89,98,98
11,45,30,79,32,61,4,98,24,43
14,64,11,85,24,66,58,94,18,100
81,22,32,89,37,31,52,3,21,79
12,12,22,44,96,51,81,22,94,71
63,95,65,49,84,65,9,90,95,80
55,3,73,35,38,92,11,33,86,36
23,22,27,26,50,3,87,14,95,36
3,37,18,64,12,83,95,11,32,54
31,82,40,72,59,72,38,95,10,17
59,55,44,97,79,75,70,12,43,10
38,58,86,75,44,64,86,44,86,60
72,65,97,4,48,66,57,58,68,61
43,92,13,50,80,61,17,74,31,53
46,32,47,92,6,51,63,29,53,41
79,18,87,79,0,23,1,97,51,94
15,88,31,46,2,8,29,7,44,15
21,0,52,18,5,60,15,51,73,93
55,92,24,72,12,53,34,88,34,3
72,45,28,84,82,98,60,73,18,72
24,9,34,19,29,8,62,99,86,99
3,81,82,15,53,12,70,52,30,88
51,71,24,8,75,55,28,40,20,86
90,86,50,62,31,63,48,15,37,17
74,6,48,5,23,37,39,84,98,32
88,51,11,59,4,35,65,99,87,56
85,30,56,15,14,34,10,84,28,73
27,9,4,4,85,0,62,66,89,75
1,63,33,68,69,64,14,31,8,45
2,9,77,92,70,1,98,56,20,55
18,89,96,95,36,24,59,17,3,52
22,9,10,18,31,74,45,53,22,16
36,33,23,64,49,67,27,61,67,67
55,13,51,33,41,97,10,32,95,68
5,96,59,55,35,5,44,42,34,64
27,84,52,71,17,37,7,46,46,22
21,62,82,92,4,59,1,67,46,4
73,86,77,24,95,7,49,77,99,47
5,80,37,83,3,90,13,5,14,43
38,75,37,15,100,33,53,82,82,51
12,81,2,73,62,6,28,98,21,52
83,61,31,1,20,97,6,45,85,83
25,72,23,63,96,58,37,70,17,10
14,44,60,25,68,48,22,74,19,23
37,24,91,81,74,21,53,19,46,79
30,43,56,59,63,90,90,6,18,34
21,51,77,67,6,4,82,0,3,62
72,72,75,21,19,56,63,46,16,91
69,81,71,59,39,37,81,60,74,29
63,42,14,75,78,56,49,17,4,52
36,48,12,62,28,68,18,23,67,27
93,12,13,3,95,20,50,38,80,89
16,51,51,68,49,93,50,80,63,77
36,34,77,57,94,0,5,70,63,61
16,38,94,39,30,96,5,92,67,33
1,99,9,84,47,95,71,76,71,62
33,82,41,20,53,43,55,4,29,74
13,44,72,11,68,57,91,86,59,37
97,16,75,96,11,11,100,33,60,39
27,41,65,61,37,70,77,90,19,70
26,29,10,34,7,43,57,24,24,94
61,32,0,99,96,96,36,64,62,89
83,51,80,87,16,79,92,18,18,83
3,100,89,74,26,58,69,66,14,47
77,100,99,45,33,27,42,51,25,97
63,21,53,75,13,30,37,95,72,89
75,17,12,10,50,52,18,74,50,22
71,45,11,74,21,26,100,33,82,46
49,26,61,64,20,84,96,75,6,82
30,92,92,31,0,51,6,35,66,89
30,62,34,46,88,91,25,16,88,60
46,78,92,49,49,3,33,82,74,23
79,54,16,11,8,15,17,62,77,72
70,7,7,96,100,6,69,58,44,33
64,21,71,14,24,81,59,37,13,35
17,95,53,18,32,32,11,100,45,32
22,35,48,32,25,51,33,51,39,26
16,40,86,3,43,49,81,86,22,27
36,55,87,43,17,7,99,63,31,90
88,3,14,84,34,77,99,73,20,35
0,51,19,100,84,20,54,96,39,52
23,26,6,65,61,62,11,89,4,53
38,34,32,48,84,60,99,94,72,65
55,8,93,43,74,41,57,89,76,51
97,95,55,42,88,19,41,67,65,55
35,44,27,97,80,66,23,45,61,77
83,93,6,88,41,80,26,37,1,35
28,14,5,99,32,50,32,22,88,20
19,89,42,83,86,8,34,33,53,27
47,14,44,71,18,57,66,75,14,10
7,75,45,85,57,66,24,69,73,24
82,76,43,90,25,67,92,8,7,66
33,83,37,49,22,27,1,47,15,30
96,16,51,20,22,24,71,5,21,28
77,82,30,51,79,10,93,89,49,17
35,38,46,21,22,73,61,76,52,83
12,35,14,55,72,73,0,13,71,20
59,59,67,32,44,42,65,90,58,2
29,34,100,15,31,33,79,83,46,15
60,74,48,73,0,57,63,12,43,96
31,62,84,43,94,5,87,40,59,40
92,34,30,65,46,82,30,2,55,59
4,70,12,19,45,9,66,19,97,74
71,100,95,43,92,62,12,67,76,28
83,46,3,85,12,0,51,82,96,84
68,41,23,41,41,6,9,83,41,73
8,76,68,86,5,75,86,58,98,66
78,3,45,15,23,53,36,3,11,29
79,85,3,14,72,8,16,66,12,47
74,1,22,33,54,67,0,3,33,27
16,51,42,20,98,62,71,73,43,85
56,100,26,27,37,14,100,2,31,52
3,5,14,2,59,29,49,69,55,3
19,91,62,94,9,44,96,37,13,61
85,31,68,58,68,31,59,39,38,39
64,97,98,34,91,80,28,100,24,10
48,75,72,18,16,37,1,32,95,63
28,35,59,95,93,86,18,21,78,53
95,20,48,23,40,11,36,68,77,63
94,44,50,21,63,13,49,5,43,76
45,59,1,16,4,84,97,97,48,73
89,91,47,29,23,38,70,14,3,88
5,54,29,37,61,48,74,67,45,82
90,42,70,84,88,3,53,60,39,68
37,30,12,19,56,15,53,50,34,53
10,33,23,84,61,37,73,78,5,42
99,87,67,39,31,54,39,82,12,69
19,26,17,39,90,28,78,4,61,15
48,71,93,91,10,37,1,84,64,51
6,20,91,40,35,1,49,27,41,9
75,10,96,14,62,36,100,14,16,91
24,61,1,41,50,86,83,98,46,15
69,28,48,68,6,26,25,32,29,44
5,1,99,38,85,57,74,21,17,46
17,67,54,71,86,2,12,88,70,67
42,90,14,60,54,64,29,78,61,44
4,88,49,86,92,45,74,83,19,55
67,0,10,23,76,43,36,6,3,0
31,70,25,96,45,22,22,1,50,84
13,88,4,69,20,94,16,13,57,97
63,49,90,11,38,61,52,58,15,94
10,32,88,61,53,57,44,27,26,45
67,82,71,14,61,45,72,48,33,32
10,100,68,45,28,87,79,28,3,62
97,87,92,21,26,99,52,68,65,8
100,51,30,97,74,39,73,53,33,18
56,41,35,62,81,7,49,67,33,68
7,26,39,45,37,54,77,89,20,55
43,56,96,58,40,58,83,21,37,74
46,26,16,29,94,2,6,93,91,7
55,16,97,57,62,76,43,95,58,34
44,1,86,25,60,53,78,88,6,29
13,2,100,17,1,26,58,76,32,79
59,82,23,8,69,33,18,98,63,75
73,57,69,30,74,43,3,33,26,71
7,53,91,15,38,42,98,49,27,8
96,71,43,25,14,57,66,48,44,61
52,29,82,55,99,76,71,47,42,69
56,8,18,51,30,45,87,22,13,59
13,69,67,22,61,96,91,66,27,91
92,64,52,86,6,62,26,21,19,78
8,7,88,63,53,68,9,60,82,85
60,14,23,76,39,15,91,58,36,92
95,37,33,78,8,94,89,29,69,19
20,95,31,53,21,46,66,49,100,24
95,31,71,100,61,59,98,19,70,19
68,2,33,54,58,85,1,84,18,51
32,29,96,88,30,20,59,78,60,69
62,4,75,98,73,16,73,80,12,38
49,45,17,24,35,82,90,59,32,88
60,72,77,20,34,78,12,93,37,11
68,41,29,82,85,4,95,59,49,19
12,12,44,86,21,68,83,86,41,9
62,10,0,3,34,62,36,22,32,45
33,11,50,75,98,95,66,59,90,25
36,40,82,88,17,35,52,62,84,11
81,84,44,61,38,72,45,41,23,19
49,49,2,43,71,78,26,98,18,32
36,40,73,88,33,46,17,75,14,15
74,47,47,79,79,17,54,7,45,86
2,62,3,95,29,97,97,71,5,12
35,78,24,1,9,57,43,9,93,81
98,81,100,59,65,40,98,94,71,59
44,30,8,23,2,86,24,29,44,79
11,88,21,18,66,33,39,72,46,77
0,13,70,36,36,60,12,9,23,47
16,45,80,64,64,86,58,85,76,94
91,33,67,27,74,15,30,47,23,23
30,19,14,84,96,71,49,52,77,53
31,53,11,73,32,35,19,24,59,76
71,72,77,17,99,73,89,48,41,100
75,43,26,77,43,36,69,59,55,95
86,86,57,4,52,12,22,43,84,65
71,68,9,99,88,60,40,84,93,65
47,67,65,87,26,8,65,81,66,90
34,16,51,80,42,98,95,14,70,96
14,38,27,20,68,85,4,3,59,66
1,1,47,87,64,81,21,76,81,76
61,34,11,54,56,41,17,44,40,64
72,38,59,73,80,97,82,8,23,72
27,11,13,29,60,93,90,56,19,89
98,72,66,59,33,13,94,38,65,76
80,68,53,81,18,4,30,6,26,7
90,68,97,40,68,45,96,19,57,47
24,92,68,39,69,89,57,74,1,51
22,64,87,25,90,66,94,41,37,97
96,34,0,82,28,17,54,43,46,13
46,71,3,85,3,49,70,17,67,80
40,49,5,59,53,86,33,90,82,44
53,0,55,82,10,100,99,42,34,42
91,98,65,93,59,8,24,44,11,3
95,78,5,76,12,51,52,90,26,75
40,75,3,83,12,67,72,88,7,31
48,43,74,1,0,43,8,95,84,7
54,40,43,38,78,47,63,2,46,29
55,37,99,44,94,47,20,59,64,65
63,48,55,46,2,100,14,74,57,35
25,65,88,91,47,62,25,62,94,77
98,97,4,63,72,19,56,9,84,58
43,2,57,69,73,37,92,51,16,13
76,4,8,73,100,58,5,31,90,8
46,21,43,85,81,51,64,20,15,82
59,64,60,9,66,53,31,81,8,21
61,25,42,7,69,33,11,18,16,38
23,61,32,4,67,83,26,70,79,23
96,15,41,62,41,24,50,89,77,89
19,21,0,16,46,94,17,22,25,85
78,61,16,60,76,68,78,23,3,58
42,37,18,1,42,44,48,59,55,1
16,79,11,92,48,32,8,24,90,12
53,14,41,99,11,52,46,26,76,40
61,80,56,76,20,4,46,17,76,58
60,46,31,29,100,57,77,31,67,30
42,38,89,5,15,9,42,64,23,28
81,0,86,16,9,51,77,53,43,60
76,55,91,64,16,6,6,98,83,30
0,38,38,85,4,89,0,82,7,27
74,97,42,27,7,91,59,33,21,51
27,61,70,73,13,22,7,35,6,66
67,69,88,74,6,50,12,52,69,32
74,100,21,27,83,73,12,30,64,34
77,56,65,75,58,94,55,56,54,68
50,13,23,2,99,70,69,35,36,41
47,35,93,79,63,63,21,96,66,29
17,67,49,53,87,76,45,18,47,32
96,49,72,3,95,65,97,27,61,91
33,62,99,85,68,69,56,11,26,58
29,97,5,33,86,12,86,67,66,85
94,65,81,45,6,76,82,5,47,84
92,79,52,19,2,46,37,77,75,93
27,84,93,1,57,29,5,70,36,28
28,35,22,93,36,81,93,90,52,36
40,98,8,24,22,41,90,7,99,87
80,52,19,6,68,21,31,38,91,74
74,100,99,43,71,41,62,90,15,91
77,72,29,9,19,65,87,47,44,83
79,26,51,87,96,33,31,74,98,62
54,100,10,34,19,45,14,38,46,83
63,9,52,48,94,95,72,14,40,96
14,56,5,28,44,53,29,3,12,94
33,10,51,68,39,27,37,62,50,88
62,94,80,39,67,62,0,15,58,12
19,20,21,67,0,6,66,84,33,46
31,91,38,18,36,20,32,0,63,45
17,2,17,10,97,74,41,4,49,22
100,58,10,63,18,61,15,50,32,78
50,71,39,39,47,85,64,29,65,46
17,59,76,13,80,63,86,20,22,62
39,66,31,37,25,69,45,12,96,55
98,43,13,24,89,72,16,87,33,78
27,67,32,42,100,96,77,94,17,22
99,48,16,71,19,83,38,15,48,67
28,95,87,22,23,18,72,29,32,0
28,85,80,95,70,42,72,71,74,20
51,93,39,25,60,37,25,40,95,20
7,97,94,12,10,46,62,30,17,39
0,85,64,3,64,5,92,68,86,52
84,64,4,83,60,16,1,38,50,35
73,25,83,97,97,43,25,72,49,60
68,36,72,57,5,40,100,99,28,78
39,27,62,16,97,17,62,14,26,43
95,57,1,45,74,80,77,91,26,79
41,33,50,90,40,31,19,85,88,76
78,28,67,85,78,22,50,24,3,60
88,95,58,7,74,56,73,81,37,52
26,75,8,54,29,28,1,29,18,77
92,21,7,36,41,13,80,61,87,45
14,2,84,19,86,61,39,32,11,42
4,46,92,25,58,39,19,95,60,12
34,63,83,7,15,53,61,51,43,16
14,96,60,76,80,14,39,9,91,45
33,26,69,13,50,69,12,0,100,86
17,65,35,30,6,47,48,32,38,8
35,19,59,8,27,76,96,58,50,89
24,22,83,99,82,4,76,37,83,73
12,61,87,27,36,32,55,67,66,59
27,30,61,30,50,64,62,57,52,90
9,13,39,25,49,93,11,34,93,98
57,98,58,4,49,63,62,62,57,94
87,81,7,70,76,84,47,9,74,40
40,32,71,19,2,62,84,48,81,47
11,95,83,82,19,16,52,31,65,57
25,70,94,29,37,20,93,43,36,7
36,97,27,93,71,86,13,25,23,77
40,62,52,48,13,90,90,4,32,62
78,69,74,17,49,49,14,54,27,82
33,88,96,69,37,98,45,68,19,89
42,19,89,89,63,58,40,29,67,82
55,59,58,95,56,20,36,47,19,28
97,95,64,13,32,19,66,58,65,12
54,24,91,30,38,7,83,57,49,67
10,92,63,6,61,67,15,46,41,20
25,7,79,8,27,17,59,72,12,22
62,79,92,31,53,97,26,89,68,95
94,87,46,36,80,40,29,67,99,29
73,34,77,46,14,98,11,43,93,60
25,29,56,94,6,69,80,67,9,63
51,83,44,98,88,40,80,69,2,80
42,36,82,97,86,5,0,99,34,97
55,88,2,3,28,4,3,99,8,82
16,3,24,4,14,50,47,94,58,54
1,44,99,94,97,86,42,16,91,41
78,45,68,61,64,3,73,81,75,72
22,98,75,70,67,50,86,73,53,67
50,84,18,84,38,1,22,52,22,89
19,19,1,33,91,37,93,11,59,30
70,32,52,29,74,38,91,81,20,89
15,2,83,75,53,23,30,29,62,54
87,80,57,24,63,85,2,65,77,28
93,28,17,66,2,59,78,22,10,80
86,81,70,43,61,50,23,46,23,30
4,91,89,54,1,26,30,64,56,82
55,50,20,92,73,42,86,84,90,17
1,10,61,80,88,70,97,2,15,38
13,62,0,80,76,17,85,27,2,64
27,71,2,29,63,47,51,76,60,46
74,52,75,82,15,27,44,6,13,51
68,100,95,9,2,78,53,59,89,81
20,50,45,95,38,76,78,17,63,92
68,14,53,94,63,21,69,26,8,74
51,69,30,92,69,94,56,38,35,35
59,49,100,31,9,82,84,39,37,74
45,19,98,86,58,3,8,61,88,71
92,4,21,60,15,75,23,35,36,32
97,94,6,19,51,14,60,22,86,73
30,63,12,61,4,56,99,78,35,4
50,9,5,59,33,17,28,94,66,99
74,64,87,50,56,51,52,24,65,42
19,73,63,46,81,49,14,64,28,86
38,39,0,21,7,39,64,63,76,59
72,16,2,10,8,84,35,71,71,64
45,46,82,87,1,86,35,54,66,7
56,77,33,91,13,44,28,57,93,44
79,64,26,82,2,79,56,70,52,48
24,17,39,18,68,52,20,32,53,54
11,29,48,94,48,87,42,33,80,39
11,62,6,42,46,77,99,26,70,33
12,44,81,58,56,24,60,94,28,78
68,73,47,43,66,79,38,41,100,62
58,97,25,92,28,88,50,1,36,73
47,17,5,47,62,89,81,70,45,35
57,44,96,42,78,59,96,52,80,95
8,49,33,50,47,32,99,2,24,6
20,39,89,9,85,61,25,18,68,9
55,48,69,58,91,69,6,55,47,62
42,78,36,43,51,26,16,32,80,55
83,36,15,54,43,55,37,80,55,44
11,34,5,48,98,97,47,64,60,2
32,31,15,37,88,91,14,11,63,27
79,25,1,7,76,79,93,96,52,95
28,14,98,100,6,2,80,10,31,36
59,45,24,98,63,70,6,14,86,19
73,87,46,4,14,58,25,59,58,14
69,67,19,21,40,75,72,96,54,98
68,95,17,3,81,74,74,72,19,88
25,52,84,41,53,43,61,13,97,54
94,24,17,4,19,46,10,1,81,29
97,51,11,83,40,63,57,38,77,52
59,75,0,69,7,12,61,34,80,78
11,89,25,49,63,88,28,99,64,44
100,39,72,66,73,19,29,51,97,34
46,67,39,26,41,72,99,94,4,9
31,39,62,26,54,74,37,15,68,21
18,18,56,20,12,9,79,58,62,3
48,79,98,0,38,57,69,84,74,74
49,89,42,70,87,93,80,88,41,6
37,93,63,1,40,23,21,52,66,92
38,69,49,78,32,95,19,40,44,13
17,71,17,85,96,95,61,86,97,40
28,50,85,46,13,75,74,74,94,10
57,89,51,4,43,92,15,44,66,94
44,22,30,33,25,15,5,0,9,10
27,66,78,71,16,98,18,45,87,23
67,48,23,74,28,68,11,49,16,73
2,11,85,13,59,1,64,53,46,16
19,21,99,26,56,86,19,60,8,81
55,29,56,36,87,49,46,8,86,7
74,2,88,72,46,83,46,97,51,34
100,75,83,74,89,31,73,4,98,18
29,92,55,6,1,44,62,50,38,63
85,55,71,62,24,11,100,6,88,30
0,50,72,35,88,40,16,41,78,71
91,74,30,92,69,93,39,27,91,35
93,18,70,78,97,82,1,53,61,63
44,74,82,61,31,94,16,0,96,76
54,47,64,61,99,21,71,66,39,2
5,67,58,68,14,56,69,39,84,31
9,69,46,57,15,21,53,75,59,15
80,93,0,8,57,48,36,83,20,19
79,98,53,73,78,76,27,78,51,55
78,72,34,20,74,32,54,94,48,55
10,41,42,69,82,64,32,69,53,36
50,22,65,45,60,47,4,57,54,52
9,46,94,47,94,64,75,20,73,81
47,41,73,45,39,3,88,30,4,92
